Code,School
CHI,University of Chicago
COO,Cornell University
DUL,Duke University
FU,University of Florida
HVD,Harvard University
IEN,Northwestern University
INU,Indiana University
LOC,Library of Congress
MChB,Boston College
MDL,Minnesota Digital Library
MiU,University of Michigan
NCSU,North Carolina State University
NJP,Princeton University
NNC,Columbia University
NYP,New York Public Library
PST,Penn State University
PUR,Purdue University
UC,University of California
UCM,Universidad Complutense de Madrid
UIU,University of Illinois
UMN,University of Minnesota
UNC,University of North Carolina
USU,Utah State University Press
UVA,University of Virginia
WU,University of Wisconsin
YALE,Yale University
